set_num,set_name,price,theme,subtheme,year,ppp,num_parts,availability,first_sold,set_type
700-12,Automatic Binding Bricks,,System,Basic Set,1949,,,,,Normal
700_1_1-1,Individual 2 x 4 Bricks,,System,Supplemental,1950,,,,,Other
700_1_2-1,Individual 2 x 2 Bricks,,System,Supplemental,1950,,,,,Other
700_A-1,Automatic Binding Bricks Small Brick Set (Lego Mursten),,System,Basic Set,1950,,,,,Other
700_B_1-1,Individual 1 x 4 x 2 Window (without glass),,System,Supplemental,1950,,,,,Other
700_B_2-1,Individual 1 x 2 x 3 Window (without glass),,System,Supplemental,1950,,,,,Other
700_B_3-1,Individual 1 x 2 x 2 Window (without glass),,System,Supplemental,1950,,,,,Other
700_B_4-1,Individual 1 x 2 x 4 Door (without glass),,System,Supplemental,1950,,,,,Other
700_1_4-1,Individual 1 x 2 Bricks,,System,Supplemental,1953,,,,,Other
700_3_4-1,Individual 2 x 3 Bricks,,System,Supplemental,1953,,,,,Other
700_B-1,Early LEGO Windows/Doors (without Glass),,System,Supplemental,1953,,,,,Other
700_F-1,Automatic Binding Bricks - Small Brick Set (Lego Mursten),,System,Supplemental,1953,,,,,Other
700_1-1,Gift Package (Lego Mursten),,System,Town Plan,1954,,,,,Other
700_16-1,Individual 2 x 8 Bricks,,System,Supplemental,1954,,,,,Other
700_2-1,Gift Package (Lego Mursten),,System,Town Plan,1954,,,,,Other
700_20-1,Individual 2 x 10 Bricks,,System,Supplemental,1954,,,,,Other
700_24-1,Individual 2 x 12 Bricks,,System,Supplemental,1954,,,,,Other
700_28-1,Individual 2 x 14 Bricks,,System,Supplemental,1954,,,,,Other
700_3-1,Gift Package (Lego Mursten),,System,Town Plan,1954,,,,,Other
700_3A-1,Gift Package (Lego Mursten),,System,Town Plan,1954,,,,,Other
700_4-1,Gift Package (Lego Mursten),,System,Town Plan,1954,,,,,Other
700_5-1,Gift Package (Lego Mursten),,System,Town Plan,1954,,,,,Other
700_6-1,Gift Package (Lego Mursten),,System,Town Plan,1954,,,,,Other
700_C-1,Tall Classic Windows/Door (with Glass),,System,Supplemental,1954,,,,,Other
700_C_1-1,Individual 1 x 6 x 4 Panorama Window (with glass),,System,Supplemental,1954,,,,,Other
700_C_2-1,Individual 1 x 6 x 3 3-Pane Window (with glass),,System,Supplemental,1954,,,,,Other
700_C_3-1,Individual 1 x 6 x 3 Shutter Window (with glass),,System,Supplemental,1954,,,,,Other
700_C_4-1,Individual 1 x 4 x 3 Window (with glass),,System,Supplemental,1954,,,,,Other
700_C_5-1,Individual 1 x 3 x 3 Window (with glass),,System,Supplemental,1954,,,,,Other
700_C_6-1,Individual 1 x 2 x 4 Door (with glass),,System,Supplemental,1954,,,,,Other
700_E-1,Individual 10 x 20 Baseplate,,System,Supplemental,1954,,,,,Other
700_H-1,Individual 4 x 4 Corner Bricks,,System,Supplemental,1954,,,,,Other
1200-1,LEGO Town Plan Board; Large Plastic,,System,Town Plan,1955,,,,,Normal
1210-2,Small Store Set,,System,Town Plan,1955,,,,,Normal
1211-2,Small House Set,,System,Town Plan,1955,,,,,Normal
1212-2,Small House - Left Set,,System,Town Plan,1955,,,,,Normal
1213-2,Small House - Right Set,,System,Town Plan,1955,,,,,Normal
1214-2,Windows and Doors,,System,Supplemental,1955,,,,,Normal
1215-2,2 x 8 & 2 x 10 Bricks,,System,Supplemental,1955,,,,,Normal
1216-2,4 x 4 Corner Bricks,,System,Supplemental,1955,,,,,Normal
1217-2,2 x 4 Bricks,,System,Supplemental,1955,,,,,Normal
1218-2,2 x 3 Bricks,,System,Supplemental,1955,,,,,Normal
1219-2,2 x 2 Bricks,,System,Supplemental,1955,,,,,Normal
1220-2,1 x 2 Bricks,,System,Supplemental,1955,,,,,Normal
1221-2,1 x 1 Bricks,,System,Supplemental,1955,,,,,Normal
1222-2,1 x 1 Round Bricks,,System,Supplemental,1955,,,,,Normal
1223-2,2 x 2 & 2 x 4 Curved Bricks,,System,Supplemental,1955,,,,,Normal
1224-2,8 Named Beams,,System,Supplemental,1955,,,,,Normal
1225-2,Mixed Plates Parts Pack,,System,Supplemental,1955,,6.0,Retail,,Normal
1230-2,Windows and Door without Glass,,System,Supplemental,1955,,,,,Normal
1235-2,Garage Plate and Door,,System,Supplemental,1955,,,,,Normal
1236-2,Garage,,System,Town Plan,1955,,,,,Normal
1237-2,Service Station,,System,Town Plan,1955,,,,,Normal
1240-2,8 Road Signs,,System,Supplemental,1955,,,,,Normal
1241-2,8 Road Signs,,System,Supplemental,1955,,,,,Normal
1247-2,Esso Pumps/Sign,,System,Supplemental,1955,,,,,Normal
1248-2,Painted Trees and Bushes,,System,Supplemental,1955,,,,,Normal
1250-2,1:87 Esso Bedford Tanker,,System,HO 1:87 Vehicles,1955,,,,,Normal
1251-2,1:87 Esso Bedford Truck,,System,HO 1:87 Vehicles,1955,,,,,Normal
1252-2,1:87 Esso Bedford Trailer,,System,HO 1:87 Vehicles,1955,,,,,Normal
1253-2,1:87 Bedford Flatbed Truck,,System,HO 1:87 Vehicles,1955,,,,,Normal
1254-2,1:87 Bedford Flatbed Trailer,,System,HO 1:87 Vehicles,1955,,,,,Normal
1255-2,1:87 Bedford Fire Engine,,System,HO 1:87 Vehicles,1955,,,,,Normal
1256-2,1:87 Bedford Tow Truck,,System,HO 1:87 Vehicles,1955,,,,,Normal
1257-2,1:87 Bedford Delivery Truck,,System,HO 1:87 Vehicles,1955,,,,,Normal
1300-1,Lego Mosaik Set (Small),,System,Mosaic,1955,,,,,Normal
1301-1,Lego Mosaik Set (Large),,System,Mosaic,1955,,,,,Normal
1224_1-1,8 Danish Named Beams,,System,Supplemental,1955,,,,,Other
1224A-1,1 x 6 and 1 x 8 Bricks,,System,Supplemental,1955,,,,,Other
224-1,2 x 2 & 2 x 4 Curved Bricks,,System,Supplemental,1956,,14.0,Retail,,Normal
231-2,Esso Pumps/Sign,,System,Supplemental,1956,,,,,Normal
236-1,Garage with Automatic Door (White base and door frame),,System,Town Plan,1956,,69.0,Retail,,Normal
250-2,1:87 Esso Bedford Tanker,,System,HO 1:87 Vehicles,1956,,,,,Normal
251-2,1:87 Esso Bedford Truck,,System,HO 1:87 Vehicles,1956,,,,,Normal
252-2,1:87 Esso Bedford Trailer,,System,HO 1:87 Vehicles,1956,,,,,Normal
275-2,1:87 VW Van,,System,HO 1:87 Vehicles,1956,,,,,Normal
1200-2,LEGO Town Plan Board; Small Plastic,,System,Town Plan,1956,,,,,Normal
1226-2,6 x 8 & 2 x 8 Plates,,System,Supplemental,1956,,,,,Normal
1227-2,4 x 8 & 2 x 8 Plates,,System,Supplemental,1956,,,,,Normal
1228-2,4 x 8 Curved & 2 x 8 Plates,,System,Supplemental,1956,,,,,Normal
1231-2,Windows and Door with Glass; Red,,System,Supplemental,1956,,,,,Normal
1231-3,Windows and Door with Glass; White,,System,Supplemental,1956,,,,,Normal
1270-1,5 Cyclists / Motorcyclists,,System,HO 1:87 Vehicles,1956,,,,,Normal
1271-2,Traffic Police Set,,System,Town Plan,1956,,,,,Normal
1310-1,ESSO Filling Station,,System,Town Plan,1956,,,,,Normal
700_0-1,Gift Package,,System,Town Plan,1956,,,,,Other
700_1-2,Gift Package,,System,Town Plan,1956,,,Retail,,Other
700_2-2,Gift Package,,System,Basic Set,1956,,,,,Other
700_3-2,Gift Package,,System,Town Plan,1956,,,Retail,,Other
700_3A-2,Gift Package,,System,Town Plan,1956,,,Retail,,Other
700_4-3,Gift Package,,System,Town Plan,1956,,,Retail,,Other
700_5-2,Gift Package,,System,Basic Set,1956,,,,,Other
700_6-2,Gift Package,,System,Town Plan,1956,,,,,Other
200-3,LEGO Town Plan Board; Plastic,,System,Town Plan,1957,,,,,Normal
214-4,Windows and Doors Retailer Pack,,System,Supplemental,1957,,0.0,,,Collection
225-1,1 x 6 and 1 x 8 Bricks,,System,Supplemental,1957,,,,,Normal
236-2,Garage and Van,,System,Town Plan,1957,,,,,Normal
283-1,Sloping Ridge and Valley Bricks; Red,,System,Supplemental,1957,,,,,Normal
283-2,Sloping Ridge and Valley Bricks; Blue,,System,Supplemental,1957,,,,,Normal
1223-3,2 x 2 Curved Bricks,,System,Supplemental,1957,,,,,Normal
1231-4,Windows and Doors Retailer Pack,,System,Supplemental,1957,,,,,Normal
1233-2,Light Masts,,System,Supplemental,1957,,,Retail,,Normal
1234-2,Letter Bricks,,System,Supplemental,1957,,,,,Normal
1242-2,International Flags,,System,Supplemental,1957,,,,,Normal
1245-2,Lighting Device Pack,,System,Supplemental,1957,,,,,Normal
1260-2,1:87 Twenty Four Models,,System,HO 1:87 Vehicles,1957,,,,,Normal
1306-1,VW Garage,,System,Town Plan,1957,,,,,Normal
1307-1,VW Auto Showroom,,System,Town Plan,1957,,,,,Normal
1308-1,Fire Station,,System,Town Plan,1957,,,,,Normal
1309-1,Church,,System,Town Plan,1957,,,,,Normal
1200M-1,LEGO Town Plan Wooden Board,,System,Town Plan,1957,,,,,Other
1242D-1,5 Danish Flags,,System,Supplemental,1957,,,,,Other
200A-1,LEGO Town Plan Wooden Board,,System,Town Plan,1957,,,,,Other
200M-1,LEGO Town Plan Wooden Board,,System,Town Plan,1957,,,,,Other
700_0-2,Canister Set (Switzerland),,System,,1957,,196.0,Retail,,Other
700_1-3,Canister Set (Switzerland),,System,,1957,,,Retail,,Other
700_3A-3,Canister Set (Switzerland),,System,,1957,,96.0,Retail,,Other
700_6-3,Canister Set (Switzerland),,System,,1957,,,,,Other
210-2,Small Store Set,,System,Town Plan,1958,,,,,Normal
211-2,Small House Set,,System,Town Plan,1958,,,,,Normal
212-1,Small House - Left Set,,System,Town Plan,1958,,,,,Normal
213-2,Small House - Right Set,,System,Town Plan,1958,,,,,Normal
214-2,Ten Windows and Doors; Red,,System,Supplemental,1958,,,,,Normal
214-3,Ten Windows and Doors; White,,System,Supplemental,1958,,,,,Normal
215-2,2 x 8 Bricks,,System,Supplemental,1958,,6.0,Retail,,Normal
216-1,2 x 10 Bricks,,System,Supplemental,1958,,5.0,Retail,,Normal
217-2,4 x 4 Corner Bricks,,System,Supplemental,1958,,5.0,Retail,,Normal
218-2,2 x 4 Bricks,,System,Supplemental,1958,,13.0,Retail,,Normal
219-1,2 x 3 Bricks,,System,Supplemental,1958,,,,,Normal
220-1,2 x 2 Bricks,,System,Supplemental,1958,,,,,Normal
221-2,1 x 2 Bricks,,System,Supplemental,1958,,,,,Normal
222-2,1 x 1 Bricks,,System,Supplemental,1958,,,,,Normal
223-2,1 x 1 Round Bricks,,System,Supplemental,1958,,,Retail,,Normal
224-3,2 x 2 Curved Bricks,,System,Supplemental,1958,,,,,Normal
226-1,8 Named Beams,,System,Supplemental,1958,,,Retail,,Normal
227-1,4 x 8 Curved & 2 x 8 Plates,,System,Supplemental,1958,,,,,Normal
228-1,4 x 8 & 2 x 8 Plates,,System,Supplemental,1958,,,,,Normal
229-1,6 x 8 & 2 x 8 Plates,,System,Supplemental,1958,,,,,Normal
230-2,Six Trees and Bushes,,System,Supplemental,1958,,,,,Normal
232-2,16 Road Signs,,System,Supplemental,1958,,,Retail,,Normal
233-1,Light Masts,,System,Supplemental,1958,,,,,Normal
234-1,Letter Bricks,,System,Supplemental,1958,,,Retail,,Normal
235-1,Garage Plate and Door (White Base and Door Frame),,System,Supplemental,1958,,5.0,Retail,,Normal
242-1,International Flags,,System,Supplemental,1958,,,,,Normal
242-2,5 Danish Flags,,System,Supplemental,1958,,,,,Normal
245-1,Lighting Device Pack,,System,Supplemental,1958,,,,,Normal
253-1,1:87 Bedford Flatbed Truck,,System,HO 1:87 Vehicles,1958,,,,,Normal
254-2,1:87 Bedford Flatbed Trailer,,System,HO 1:87 Vehicles,1958,,,,,Normal
255-1,1:87 Bedford Fire Engine,,System,HO 1:87 Vehicles,1958,,,,,Normal
256-2,1:87 Bedford Tow Truck,,System,HO 1:87 Vehicles,1958,,,,,Normal
257-1,1:87 Bedford Delivery Truck,,System,HO 1:87 Vehicles,1958,,,,,Normal
258-2,1:87 VW Van,,System,HO 1:87 Vehicles,1958,,,,,Normal
259-1,1:87 VW Pickup,,System,HO 1:87 Vehicles,1958,,,,,Normal
260-2,1:87 VW Beetle,,System,HO 1:87 Vehicles,1958,,,,,Normal
261-2,1:87 VW Beetle + Showroom,,System,HO 1:87 Vehicles,1958,,,,,Normal
270-1,5 Cyclists / Motorcyclists,,System,HO 1:87 Vehicles,1958,,,,,Normal
271-2,Traffic Police Set,,System,Town Plan,1958,,,,,Normal
306-2,VW Garage,,System,Town Plan,1958,,,,,Normal
307-2,VW Auto Showroom,,System,Town Plan,1958,,,,,Normal
308-3,Fire Station,,System,Town Plan,1958,,,,,Normal
309-2,Church,,System,Town Plan,1958,,,,,Normal
